Industry_x,Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age",Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, Women"
Entertainmnet,Producers and directors,161.0,0.0,15.0,48.0,31.0,35.0,24.0,8.0,40.5,Entertainment,101.0,1192,66.0,1224,35.0,0
Entertainmnet,"Athletes, coaches, umpires, and related workers",294.0,37.0,61.0,71.0,55.0,33.0,27.0,10.0,31.7,Entertainment,113.0,871,83.0,974,29.0,0
Entertainmnet,Dancers and choreographers,18.0,2.0,6.0,5.0,1.0,2.0,2.0,1.0,0,Entertainment,8.0,0,0.0,0,8.0,0
Entertainmnet,"Musicians, singers, and related workers",194.0,4.0,13.0,40.0,37.0,39.0,37.0,24.0,46.9,Entertainment,39.0,0,28.0,0,11.0,0
Entertainmnet,"Entertainers and performers, sports and related workers, all other",38.0,2.0,6.0,9.0,9.0,3.0,6.0,3.0,0,Entertainment,10.0,0,4.0,0,6.0,0
Entertainmnet,Announcers,60.0,0.0,9.0,19.0,15.0,8.0,7.0,2.0,38.2,Entertainment,28.0,0,23.0,0,5.0,0
Entertainmnet,"News analysts, reporters and correspondents",80.0,1.0,16.0,30.0,16.0,9.0,5.0,3.0,33.6,Entertainment,59.0,802,35.0,0,24.0,0
Healthcare,Chiropractors,66.0,0.0,0.0,12.0,16.0,17.0,14.0,8.0,45.7,Healthcare,18.0,0,16.0,0,2.0,0
Healthcare,Dentists,192.0,0.0,2.0,28.0,51.0,34.0,47.0,30.0,49,Healthcare,61.0,1908,38.0,0,22.0,0
Healthcare,Dietitians and nutritionists,123.0,1.0,9.0,34.0,20.0,27.0,25.0,6.0,43.3,Healthcare,86.0,919,6.0,0,80.0,875
Healthcare,Optometrists,48.0,0.0,0.0,8.0,12.0,12.0,12.0,4.0,0,Healthcare,28.0,0,17.0,0,10.0,0
Healthcare,Pharmacists,293.0,0.0,12.0,90.0,70.0,54.0,47.0,20.0,42,Healthcare,214.0,1995,103.0,2176,111.0,1902
Healthcare,Physicians and surgeons,1014.0,0.0,9.0,224.0,262.0,221.0,189.0,108.0,45.8,Healthcare,759.0,1661,475.0,2002,284.0,1246
Healthcare,Physician assistants,84.0,0.0,4.0,34.0,19.0,11.0,14.0,2.0,38.7,Healthcare,71.0,1619,22.0,0,49.0,0
Healthcare,Podiatrists,8.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0,Healthcare,2.0,0,1.0,0,0.0,0
Healthcare,Audiologists,20.0,0.0,0.0,6.0,3.0,4.0,4.0,3.0,0,Healthcare,11.0,0,2.0,0,9.0,0
Healthcare,Occupational therapists,111.0,1.0,3.0,36.0,28.0,26.0,14.0,3.0,40.8,Healthcare,80.0,1146,7.0,0,72.0,1139
Healthcare,Physical therapists,244.0,0.0,5.0,76.0,71.0,57.0,27.0,8.0,41.1,Healthcare,193.0,1387,74.0,1478,118.0,1307
Healthcare,Radiation therapists,17.0,0.0,0.0,4.0,2.0,6.0,5.0,0.0,0,Healthcare,12.0,0,5.0,0,7.0,0
Healthcare,Recreational therapists,10.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,0,Healthcare,10.0,0,3.0,0,7.0,0
Healthcare,Respiratory therapists,112.0,0.0,1.0,26.0,31.0,25.0,24.0,4.0,43.4,Healthcare,95.0,1037,38.0,0,57.0,906
Healthcare,Speech0language pathologists,137.0,0.0,2.0,43.0,42.0,25.0,21.0,4.0,41,Healthcare,101.0,1086,3.0,0,98.0,1089
Healthcare,Exercise physiologists,5.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0,Healthcare,2.0,0,1.0,0,1.0,0
Healthcare,"Therapists, all other",186.0,0.0,10.0,59.0,51.0,33.0,21.0,12.0,40.2,Healthcare,119.0,908,28.0,0,91.0,863
Healthcare,Veterinarians,81.0,0.0,1.0,14.0,23.0,17.0,20.0,6.0,47.3,Healthcare,38.0,0,9.0,0,29.0,0
Healthcare,Registered nurses,2888.0,2.0,121.0,733.0,687.0,686.0,535.0,124.0,43.7,Healthcare,2309.0,1090,245.0,1190,2064.0,1076
Healthcare,Nurse anesthetists,30.0,0.0,0.0,6.0,12.0,9.0,3.0,0.0,0,Healthcare,24.0,0,9.0,0,15.0,0
Healthcare,Nurse midwives,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,Healthcare,2.0,0,0.0,0,2.0,0
Healthcare,Nurse practitioners,128.0,0.0,0.0,31.0,26.0,31.0,32.0,7.0,46.6,Healthcare,100.0,1683,9.0,0,90.0,1682
Healthcare,"Health diagnosing and treating practitioners, all other",24.0,0.0,1.0,4.0,4.0,7.0,5.0,3.0,0,Healthcare,7.0,0,1.0,0,6.0,0
Healthcare,Clinical laboratory technologists and technicians,293.0,1.0,18.0,76.0,66.0,60.0,57.0,15.0,43.5,Healthcare,264.0,824,70.0,878,194.0,818
Healthcare,Dental hygienists,175.0,0.0,8.0,56.0,47.0,37.0,25.0,3.0,40.8,Healthcare,87.0,957,5.0,0,82.0,951
Healthcare,Diagnostic related technologists and technicians,331.0,0.0,16.0,88.0,84.0,72.0,64.0,8.0,42.8,Healthcare,256.0,991,70.0,1156,187.0,940
Healthcare,Emergency medical technicians and paramedics,232.0,3.0,37.0,86.0,55.0,33.0,14.0,3.0,32.4,Healthcare,207.0,754,152.0,791,55.0,709
Healthcare,Health practitioner support technologists and technicians,583.0,13.0,87.0,200.0,120.0,92.0,59.0,11.0,35.1,Healthcare,443.0,618,93.0,618,350.0,618
Healthcare,Licensed practical and licensed vocational nurses,641.0,5.0,63.0,140.0,141.0,138.0,126.0,28.0,43.3,Healthcare,506.0,751,55.0,868,451.0,737
Healthcare,Medical records and health information technicians,138.0,0.0,5.0,27.0,30.0,39.0,32.0,6.0,46.5,Healthcare,120.0,790,16.0,0,104.0,796
Healthcare,"Opticians, dispensing",46.0,0.0,2.0,11.0,7.0,10.0,11.0,4.0,0,Healthcare,28.0,0,11.0,0,17.0,0
Healthcare,Miscellaneous health technologists and technicians,123.0,1.0,11.0,27.0,25.0,35.0,20.0,5.0,45,Healthcare,92.0,820,33.0,0,58.0,690
Healthcare,Other healthcare practitioners and technical occupations,108.0,0.0,5.0,32.0,30.0,19.0,19.0,3.0,41.1,Healthcare,93.0,1000,43.0,0,50.0,930
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
