Industry_x,Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age",Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, Women"
Computer and Math,Operations research analysts,123.0,0.0,4.0,34.0,39.0,23.0,18.0,5.0,41.9,Computer & Math,122.0,1441,59.0,1574,63.0,1325
Computer and Math,Statisticians,86.0,0.0,9.0,30.0,23.0,13.0,9.0,3.0,37.9,Computer & Math,76.0,1275,37.0,0,39.0,0
Computer and Math,Miscellaneous mathematical science occupations,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,Computer & Math,1.0,0,1.0,0,0.0,0
Engineering,Architecture and engineering occupations,2954.0,15.0,189.0,719.0,636.0,708.0,535.0,153.0,43.6,Engineering,2656.0,1424,2272.0,1452,383.0,1257
Engineering,"Architects, except naval",203.0,2.0,3.0,51.0,43.0,51.0,34.0,19.0,44.2,Engineering,138.0,1441,106.0,1492,31.0,0
Engineering,"Surveyors, cartographers, and photogrammetrists",38.0,0.0,2.0,7.0,10.0,7.0,10.0,2.0,0,Engineering,29.0,0,23.0,0,6.0,0
Engineering,Aerospace engineers,138.0,0.0,7.0,33.0,22.0,35.0,33.0,7.0,47.3,Engineering,140.0,1662,122.0,1668,18.0,0
Engineering,Agricultural engineers,6.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0,Engineering,5.0,0,5.0,0,0.0,0
Engineering,Biomedical engineers,16.0,0.0,1.0,6.0,2.0,4.0,2.0,1.0,0,Engineering,12.0,0,10.0,0,2.0,0
Engineering,Chemical engineers,84.0,0.0,7.0,23.0,19.0,17.0,14.0,4.0,41.5,Engineering,79.0,1532,69.0,1583,10.0,0
Engineering,Civil engineers,360.0,0.0,26.0,100.0,64.0,87.0,56.0,27.0,43.4,Engineering,316.0,1460,275.0,1474,41.0,0
Engineering,Computer hardware engineers,72.0,0.0,2.0,11.0,19.0,23.0,14.0,2.0,44.9,Engineering,72.0,1876,62.0,1871,10.0,0
Engineering,Electrical and electronics engineers,302.0,1.0,8.0,61.0,66.0,88.0,60.0,16.0,46.2,Engineering,283.0,1778,246.0,1819,37.0,0
Engineering,Environmental engineers,40.0,1.0,2.0,14.0,11.0,5.0,6.0,2.0,0,Engineering,35.0,0,26.0,0,9.0,0
Engineering,"Industrial engineers, including health and safety",214.0,0.0,14.0,58.0,44.0,48.0,41.0,8.0,42.6,Engineering,205.0,1447,168.0,1430,37.0,0
Engineering,Marine engineers and naval architects,11.0,0.0,0.0,2.0,4.0,2.0,2.0,1.0,0,Engineering,9.0,0,9.0,0,0.0,0
Engineering,Materials engineers,40.0,0.0,3.0,12.0,7.0,6.0,8.0,2.0,0,Engineering,36.0,0,33.0,0,4.0,0
Engineering,Mechanical engineers,323.0,0.0,22.0,96.0,75.0,74.0,44.0,12.0,41.2,Engineering,316.0,1534,294.0,1550,23.0,0
Engineering,"Mining and geological engineers, including mining safety engineers",15.0,0.0,1.0,7.0,2.0,2.0,3.0,1.0,0,Engineering,15.0,0,15.0,0,0.0,0
Engineering,Nuclear engineers,6.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0,Engineering,5.0,0,3.0,0,2.0,0
Engineering,Petroleum engineers,44.0,0.0,4.0,13.0,12.0,7.0,9.0,1.0,0,Engineering,43.0,0,39.0,0,3.0,0
Engineering,"Engineers, all other",440.0,1.0,20.0,95.0,101.0,108.0,91.0,23.0,45.3,Engineering,393.0,1527,339.0,1537,54.0,1448
Engineering,Drafters,133.0,1.0,12.0,37.0,27.0,31.0,19.0,6.0,41.7,Engineering,114.0,977,91.0,977,23.0,0
Engineering,"Engineering technicians, except drafters",403.0,8.0,49.0,72.0,91.0,97.0,75.0,11.0,43.2,Engineering,352.0,963,284.0,984,68.0,827
Engineering,Surveying and mapping technicians,65.0,1.0,6.0,17.0,13.0,13.0,8.0,7.0,41.4,Engineering,58.0,1012,54.0,1031,4.0,0
Service,Community and social service occupations,2596.0,16.0,134.0,595.0,569.0,599.0,466.0,216.0,44.5,Service,2143.0,889,776.0,973,1367.0,845
Service,Counselors,802.0,8.0,55.0,195.0,195.0,158.0,144.0,47.0,42.9,Service,635.0,904,184.0,908,451.0,902
Service,Social workers,765.0,2.0,38.0,200.0,190.0,183.0,107.0,45.0,42.4,Service,677.0,877,127.0,943,549.0,862
Service,Probation officers and correctional treatment specialists,99.0,1.0,2.0,22.0,29.0,29.0,12.0,4.0,43.7,Service,85.0,967,42.0,0,43.0,0
Service,Social and human service assistants,194.0,2.0,12.0,53.0,38.0,48.0,33.0,9.0,42.3,Service,173.0,676,23.0,0,149.0,673
Service,"Miscellaneous community and social service specialists, including health educators and community health workers",117.0,0.0,8.0,37.0,22.0,25.0,19.0,5.0,42.5,Service,92.0,831,29.0,0,63.0,728
Service,Clergy,469.0,0.0,10.0,58.0,74.0,125.0,115.0,87.0,52.4,Service,376.0,1002,316.0,1021,60.0,924
Service,"Directors, religious activities and education",78.0,0.0,6.0,21.0,12.0,15.0,17.0,6.0,43.5,Service,62.0,929,31.0,0,31.0,0
Service,"Religious workers, all other",73.0,3.0,3.0,9.0,10.0,16.0,20.0,12.0,51.4,Service,44.0,0,23.0,0,21.0,0
Service,Legal occupations,1803.0,4.0,38.0,402.0,427.0,391.0,347.0,193.0,45.8,,1346.0,1391,624.0,1877,722.0,1135
Service,Lawyers,1160.0,0.0,4.0,246.0,290.0,256.0,222.0,143.0,46.4,,803.0,1886,503.0,1914,300.0,1717
Entertainmnet,Artists and related workers,222.0,0.0,10.0,39.0,41.0,60.0,50.0,23.0,48.6,Entertainment,58.0,1166,39.0,0,20.0,0
Entertainmnet,Designers,899.0,7.0,63.0,257.0,197.0,186.0,127.0,62.0,41.9,Entertainment,593.0,993,301.0,1099,291.0,918
Entertainmnet,Actors,49.0,2.0,5.0,14.0,10.0,8.0,7.0,4.0,0,Entertainment,12.0,0,8.0,0,4.0,0
Entertainmnet,Producers and directors,169.0,1.0,9.0,55.0,38.0,37.0,25.0,4.0,40.4,Entertainment,120.0,1270,67.0,1340,53.0,1234
Entertainmnet,"Athletes, coaches, umpires, and related workers",296.0,52.0,50.0,68.0,57.0,32.0,28.0,10.0,31.2,Entertainment,147.0,780,108.0,818,39.0,0
Entertainmnet,Dancers and choreographers,19.0,1.0,5.0,7.0,3.0,2.0,0.0,1.0,0,Entertainment,11.0,0,2.0,0,9.0,0
Entertainmnet,"Musicians, singers, and related workers",202.0,3.0,12.0,42.0,41.0,28.0,46.0,28.0,46.7,Entertainment,42.0,0,33.0,0,9.0,0
Entertainmnet,"Entertainers and performers, sports and related workers, all other",41.0,2.0,7.0,12.0,9.0,5.0,2.0,4.0,0,Entertainment,14.0,0,11.0,0,3.0,0
Entertainmnet,Announcers,55.0,1.0,4.0,11.0,15.0,10.0,12.0,2.0,42.8,Entertainment,25.0,0,21.0,0,5.0,0
Entertainmnet,"News analysts, reporters and correspondents",68.0,0.0,2.0,20.0,14.0,16.0,9.0,6.0,44.1,Entertainment,56.0,1218,29.0,0,27.0,0
Healthcare,Chiropractors,75.0,0.0,2.0,10.0,18.0,24.0,14.0,7.0,49.1,Healthcare,22.0,0,15.0,0,7.0,0
Healthcare,Dentists,196.0,0.0,1.0,31.0,49.0,38.0,51.0,26.0,48.9,Healthcare,59.0,1656,39.0,0,20.0,0
Healthcare,Dietitians and nutritionists,108.0,0.0,8.0,26.0,18.0,23.0,27.0,6.0,45.3,Healthcare,79.0,886,9.0,0,69.0,879
Healthcare,Optometrists,39.0,0.0,0.0,12.0,7.0,11.0,4.0,3.0,0,Healthcare,19.0,0,6.0,0,13.0,0
Healthcare,Pharmacists,282.0,0.0,15.0,87.0,61.0,52.0,51.0,16.0,42.1,Healthcare,206.0,1920,98.0,2117,108.0,1811
Healthcare,Physicians and surgeons,1007.0,0.0,2.0,223.0,256.0,231.0,192.0,103.0,46.1,Healthcare,740.0,1824,457.0,1915,283.0,1533
Healthcare,Physician assistants,74.0,0.0,5.0,29.0,19.0,8.0,10.0,3.0,38.3,Healthcare,57.0,1368,17.0,0,40.0,0
Healthcare,Podiatrists,15.0,0.0,2.0,2.0,4.0,3.0,3.0,1.0,0,Healthcare,9.0,0,5.0,0,4.0,0
Healthcare,Audiologists,16.0,0.0,0.0,6.0,2.0,5.0,2.0,1.0,0,Healthcare,8.0,0,1.0,0,6.0,0
Healthcare,Occupational therapists,116.0,0.0,1.0,38.0,31.0,29.0,13.0,3.0,40.6,Healthcare,74.0,1210,10.0,0,64.0,1199
Healthcare,Physical therapists,274.0,0.0,6.0,84.0,68.0,68.0,40.0,9.0,42,Healthcare,178.0,1265,56.0,1347,123.0,1215
Healthcare,Radiation therapists,13.0,0.0,0.0,5.0,1.0,4.0,2.0,1.0,0,Healthcare,12.0,0,5.0,0,7.0,0
Healthcare,Recreational therapists,11.0,0.0,2.0,3.0,3.0,1.0,2.0,0.0,0,Healthcare,6.0,0,2.0,0,4.0,0
Healthcare,Respiratory therapists,108.0,0.0,1.0,29.0,25.0,32.0,18.0,3.0,43.2,Healthcare,99.0,1000,32.0,0,67.0,937
Healthcare,Speech0language pathologists,158.0,0.0,9.0,49.0,43.0,28.0,23.0,5.0,40.9,Healthcare,108.0,1147,1.0,0,106.0,1148
Healthcare,Exercise physiologists,5.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0,Healthcare,3.0,0,3.0,0,0.0,0
Healthcare,"Therapists, all other",189.0,1.0,15.0,60.0,39.0,37.0,26.0,12.0,40.9,Healthcare,132.0,944,31.0,0,101.0,951
Healthcare,Veterinarians,90.0,1.0,0.0,24.0,23.0,18.0,17.0,6.0,44.1,Healthcare,55.0,1455,16.0,0,39.0,0
Healthcare,Registered nurses,2973.0,7.0,121.0,715.0,727.0,705.0,577.0,120.0,44,Healthcare,2382.0,1116,278.0,1222,2104.0,1098
Healthcare,Nurse anesthetists,27.0,0.0,0.0,7.0,8.0,4.0,6.0,1.0,0,Healthcare,23.0,0,11.0,0,12.0,0
Healthcare,Nurse midwives,7.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0,Healthcare,6.0,0,0.0,0,6.0,0
Healthcare,Nurse practitioners,149.0,0.0,3.0,37.0,42.0,26.0,36.0,6.0,43.6,Healthcare,115.0,1532,11.0,0,103.0,1522
Healthcare,"Health diagnosing and treating practitioners, all other",17.0,0.0,0.0,1.0,4.0,4.0,5.0,3.0,0,Healthcare,2.0,0,0.0,0,2.0,0
Healthcare,Clinical laboratory technologists and technicians,327.0,1.0,29.0,90.0,72.0,57.0,62.0,17.0,42,Healthcare,270.0,901,69.0,1089,201.0,796
Healthcare,Dental hygienists,177.0,1.0,11.0,47.0,52.0,38.0,25.0,4.0,41.1,Healthcare,86.0,914,6.0,0,80.0,953
Healthcare,Diagnostic related technologists and technicians,322.0,1.0,13.0,90.0,82.0,78.0,49.0,9.0,42.5,Healthcare,253.0,964,76.0,1106,177.0,908
Healthcare,Emergency medical technicians and paramedics,220.0,3.0,36.0,83.0,50.0,34.0,10.0,3.0,33.5,Healthcare,175.0,811,126.0,899,49.0,0
Healthcare,Health practitioner support technologists and technicians,626.0,7.0,112.0,221.0,116.0,97.0,61.0,12.0,34.5,Healthcare,487.0,636,99.0,652,389.0,633
Healthcare,Licensed practical and licensed vocational nurses,670.0,6.0,65.0,165.0,138.0,150.0,117.0,29.0,42.4,Healthcare,508.0,743,48.0,0,459.0,737
Healthcare,Medical records and health information technicians,200.0,3.0,11.0,43.0,41.0,52.0,45.0,5.0,45.5,Healthcare,174.0,740,17.0,0,157.0,723
Healthcare,"Opticians, dispensing",52.0,0.0,3.0,9.0,14.0,13.0,11.0,2.0,44.5,Healthcare,44.0,0,21.0,0,23.0,0
Healthcare,Miscellaneous health technologists and technicians,117.0,1.0,8.0,29.0,27.0,26.0,23.0,4.0,43.7,Healthcare,99.0,671,32.0,0,66.0,642
Healthcare,Other healthcare practitioners and technical occupations,108.0,0.0,5.0,35.0,25.0,16.0,22.0,5.0,41.9,Healthcare,78.0,1128,40.0,0,38.0,0
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
