Industry_x,Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age",Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, Women"
Healthcare,Occupational therapists,112.0,0.0,3.0,35.0,35.0,24.0,13.0,2.0,40.7,Healthcare,78.0,1295,11.0,0,68.0,1240
Healthcare,Physical therapists,224.0,0.0,7.0,71.0,57.0,50.0,28.0,10.0,41.5,Healthcare,161.0,1382,74.0,1457,87.0,1300
Healthcare,Radiation therapists,13.0,0.0,1.0,4.0,4.0,2.0,1.0,0.0,0,Healthcare,12.0,0,4.0,0,8.0,0
Healthcare,Recreational therapists,9.0,0.0,1.0,2.0,2.0,4.0,1.0,0.0,0,Healthcare,10.0,0,2.0,0,8.0,0
Healthcare,Respiratory therapists,110.0,0.0,2.0,20.0,25.0,28.0,28.0,7.0,48,Healthcare,96.0,1095,44.0,0,52.0,1059
Healthcare,Speech0language pathologists,137.0,0.0,2.0,44.0,34.0,26.0,26.0,5.0,42.5,Healthcare,98.0,1218,5.0,0,93.0,1191
Healthcare,Exercise physiologists,6.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0,Healthcare,4.0,0,1.0,0,3.0,0
Healthcare,"Therapists, all other",147.0,0.0,8.0,45.0,34.0,21.0,31.0,9.0,41.8,Healthcare,96.0,864,19.0,0,77.0,870
Healthcare,Veterinarians,87.0,1.0,1.0,16.0,26.0,18.0,24.0,3.0,46.8,Healthcare,41.0,0,18.0,0,23.0,0
Healthcare,Registered nurses,2892.0,2.0,127.0,685.0,710.0,667.0,597.0,105.0,44.2,Healthcare,2278.0,1099,254.0,1236,2023.0,1086
Healthcare,Nurse anesthetists,24.0,0.0,0.0,3.0,10.0,5.0,6.0,0.0,0,Healthcare,22.0,0,7.0,0,14.0,0
Healthcare,Nurse midwives,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,Healthcare,3.0,0,0.0,0,3.0,0
Healthcare,Nurse practitioners,126.0,0.0,0.0,26.0,32.0,36.0,26.0,6.0,45.3,Healthcare,102.0,1615,11.0,0,91.0,1539
Healthcare,"Health diagnosing and treating practitioners, all other",25.0,0.0,0.0,3.0,7.0,10.0,4.0,2.0,0,Healthcare,7.0,0,1.0,0,6.0,0
Healthcare,Clinical laboratory technologists and technicians,340.0,2.0,19.0,87.0,69.0,75.0,72.0,17.0,44.4,Healthcare,307.0,891,81.0,980,226.0,858
Healthcare,Dental hygienists,184.0,0.0,10.0,44.0,46.0,51.0,28.0,5.0,43.9,Healthcare,82.0,1005,2.0,0,80.0,1011
Healthcare,Diagnostic related technologists and technicians,362.0,0.0,19.0,107.0,86.0,73.0,70.0,7.0,41.9,Healthcare,287.0,919,92.0,959,195.0,909
Healthcare,Emergency medical technicians and paramedics,176.0,2.0,26.0,59.0,50.0,26.0,11.0,1.0,34.6,Healthcare,140.0,796,82.0,832,58.0,785
Healthcare,Health practitioner support technologists and technicians,554.0,11.0,91.0,172.0,110.0,98.0,55.0,16.0,36.1,Healthcare,416.0,619,78.0,664,337.0,613
Healthcare,Licensed practical and licensed vocational nurses,558.0,2.0,35.0,115.0,143.0,141.0,103.0,19.0,43.8,Healthcare,444.0,741,40.0,0,404.0,732
Healthcare,Medical records and health information technicians,88.0,0.0,5.0,12.0,18.0,26.0,21.0,6.0,49.8,Healthcare,78.0,612,6.0,0,72.0,595
Healthcare,"Opticians, dispensing",47.0,0.0,6.0,9.0,8.0,12.0,8.0,4.0,0,Healthcare,37.0,0,13.0,0,25.0,0
Healthcare,Miscellaneous health technologists and technicians,122.0,0.0,8.0,33.0,25.0,31.0,20.0,5.0,43.3,Healthcare,114.0,849,41.0,0,73.0,782
Healthcare,Other healthcare practitioners and technical occupations,76.0,0.0,6.0,25.0,20.0,12.0,12.0,1.0,39.6,Healthcare,69.0,1065,37.0,0,31.0,0
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
