Industry_x,Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age",Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, Women"
Service,"Directors, religious activities and education",44.0,0.0,4.0,8.0,8.0,14.0,9.0,2.0,0,Service,34.0,0,10.0,0,25.0,0
Service,"Religious workers, all other",85.0,0.0,8.0,7.0,14.0,21.0,21.0,13.0,51.5,Service,50.0,654,24.0,0,26.0,0
Service,Legal occupations,1770.0,3.0,41.0,387.0,406.0,425.0,378.0,131.0,46.1,,1259.0,1277,583.0,1758,676.0,1003
Service,Lawyers,1085.0,0.0,2.0,224.0,263.0,255.0,238.0,102.0,47.2,,704.0,1774,462.0,1884,242.0,1631
Entertainmnet,Artists and related workers,180.0,1.0,10.0,34.0,49.0,35.0,36.0,16.0,45.3,Entertainment,56.0,1115,36.0,0,21.0,0
Entertainmnet,Designers,766.0,5.0,51.0,207.0,170.0,187.0,109.0,36.0,41.8,Entertainment,458.0,950,257.0,1045,201.0,816
Entertainmnet,Actors,28.0,3.0,4.0,7.0,5.0,6.0,2.0,2.0,0,Entertainment,8.0,0,6.0,0,2.0,0
Entertainmnet,Producers and directors,149.0,2.0,15.0,46.0,30.0,31.0,20.0,6.0,40.3,Entertainment,105.0,1023,58.0,1130,47.0,0
Entertainmnet,"Athletes, coaches, umpires, and related workers",272.0,39.0,59.0,59.0,41.0,40.0,29.0,5.0,30.8,Entertainment,109.0,825,84.0,919,25.0,0
Entertainmnet,Dancers and choreographers,20.0,1.0,8.0,7.0,1.0,2.0,0.0,1.0,0,Entertainment,6.0,0,3.0,0,3.0,0
Entertainmnet,"Musicians, singers, and related workers",191.0,3.0,22.0,40.0,39.0,31.0,38.0,18.0,43.2,Entertainment,35.0,0,29.0,0,5.0,0
Entertainmnet,"Entertainers and performers, sports and related workers, all other",44.0,3.0,7.0,14.0,5.0,3.0,9.0,3.0,0,Entertainment,7.0,0,3.0,0,4.0,0
Entertainmnet,Announcers,53.0,0.0,7.0,15.0,12.0,12.0,5.0,2.0,38.8,Entertainment,32.0,0,24.0,0,9.0,0
Entertainmnet,"News analysts, reporters and correspondents",70.0,0.0,5.0,24.0,15.0,13.0,12.0,2.0,39.7,Entertainment,62.0,937,44.0,0,18.0,0
Healthcare,Chiropractors,56.0,0.0,0.0,9.0,13.0,18.0,10.0,4.0,48,Healthcare,5.0,0,3.0,0,2.0,0
Healthcare,Dentists,181.0,0.0,0.0,24.0,44.0,44.0,46.0,22.0,51,Healthcare,42.0,0,33.0,0,9.0,0
Healthcare,Dietitians and nutritionists,102.0,2.0,5.0,20.0,18.0,32.0,20.0,5.0,47.7,Healthcare,69.0,897,6.0,0,64.0,906
Healthcare,Optometrists,28.0,0.0,0.0,1.0,5.0,7.0,8.0,5.0,0,Healthcare,9.0,0,6.0,0,3.0,0
Healthcare,Pharmacists,274.0,1.0,13.0,80.0,77.0,49.0,38.0,15.0,41.1,Healthcare,195.0,1917,85.0,1998,110.0,1898
Healthcare,Physicians and surgeons,822.0,1.0,4.0,168.0,209.0,206.0,157.0,78.0,46.3,Healthcare,573.0,1860,366.0,1935,206.0,1527
Healthcare,Physician assistants,82.0,0.0,4.0,31.0,22.0,13.0,10.0,1.0,37.6,Healthcare,69.0,1220,24.0,0,44.0,0
Healthcare,Podiatrists,6.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0,Healthcare,1.0,0,0.0,0,1.0,0
Healthcare,Audiologists,19.0,0.0,0.0,4.0,3.0,8.0,3.0,1.0,0,Healthcare,14.0,0,4.0,0,10.0,0
Healthcare,Occupational therapists,112.0,0.0,1.0,30.0,38.0,27.0,12.0,4.0,41.7,Healthcare,72.0,1189,10.0,0,62.0,1193
Healthcare,Physical therapists,222.0,0.0,11.0,60.0,71.0,57.0,19.0,4.0,40.5,Healthcare,146.0,1322,59.0,1522,87.0,1216
Healthcare,Radiation therapists,14.0,0.0,1.0,4.0,2.0,5.0,1.0,0.0,0,Healthcare,12.0,0,2.0,0,10.0,0
Healthcare,Recreational therapists,14.0,0.0,1.0,2.0,4.0,4.0,2.0,1.0,0,Healthcare,10.0,0,3.0,0,7.0,0
Healthcare,Respiratory therapists,134.0,0.0,6.0,27.0,37.0,37.0,24.0,2.0,44.5,Healthcare,126.0,997,53.0,966,73.0,1028
Healthcare,Speech0language pathologists,125.0,0.0,6.0,41.0,38.0,18.0,20.0,2.0,40.5,Healthcare,87.0,1075,3.0,0,84.0,1076
Healthcare,Exercise physiologists,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,Healthcare,2.0,0,1.0,0,1.0,0
Healthcare,"Therapists, all other",138.0,0.0,7.0,46.0,31.0,28.0,20.0,5.0,40.7,Healthcare,83.0,885,19.0,0,64.0,869
Healthcare,Veterinarians,71.0,1.0,2.0,23.0,16.0,14.0,8.0,8.0,42.6,Healthcare,40.0,0,12.0,0,28.0,0
Healthcare,Registered nurses,2706.0,3.0,110.0,628.0,641.0,679.0,552.0,94.0,44.7,Healthcare,2145.0,1039,208.0,1081,1937.0,1034
Healthcare,Nurse anesthetists,33.0,0.0,0.0,2.0,8.0,14.0,9.0,0.0,0,Healthcare,26.0,0,16.0,0,10.0,0
Healthcare,Nurse midwives,5.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0,Healthcare,2.0,0,0.0,0,2.0,0
Healthcare,Nurse practitioners,100.0,0.0,1.0,13.0,31.0,33.0,21.0,1.0,46.9,Healthcare,81.0,1461,11.0,0,69.0,1432
Healthcare,"Health diagnosing and treating practitioners, all other",26.0,0.0,0.0,4.0,4.0,9.0,7.0,3.0,0,Healthcare,5.0,0,3.0,0,2.0,0
Healthcare,Clinical laboratory technologists and technicians,321.0,1.0,25.0,80.0,66.0,87.0,56.0,6.0,43.2,Healthcare,282.0,861,77.0,888,206.0,845
Healthcare,Dental hygienists,148.0,0.0,5.0,41.0,41.0,33.0,25.0,2.0,42.2,Healthcare,61.0,986,3.0,0,59.0,992
Healthcare,Diagnostic related technologists and technicians,342.0,0.0,21.0,87.0,84.0,97.0,48.0,5.0,42.1,Healthcare,273.0,981,82.0,1054,191.0,964
Healthcare,Emergency medical technicians and paramedics,185.0,2.0,30.0,81.0,34.0,27.0,8.0,2.0,31.8,Healthcare,167.0,715,113.0,757,54.0,649
Healthcare,Health practitioner support technologists and technicians,511.0,13.0,86.0,167.0,93.0,96.0,44.0,11.0,34.8,Healthcare,374.0,644,91.0,682,283.0,632
Healthcare,Licensed practical and licensed vocational nurses,560.0,4.0,30.0,132.0,144.0,135.0,95.0,21.0,43.2,Healthcare,424.0,722,39.0,0,386.0,720
Healthcare,Medical records and health information technicians,116.0,1.0,8.0,32.0,26.0,22.0,23.0,5.0,42.7,Healthcare,107.0,588,10.0,0,96.0,574
Healthcare,"Opticians, dispensing",51.0,1.0,3.0,10.0,12.0,12.0,11.0,3.0,45.9,Healthcare,34.0,0,8.0,0,26.0,0
Healthcare,Miscellaneous health technologists and technicians,167.0,0.0,10.0,43.0,41.0,43.0,27.0,3.0,42.4,Healthcare,127.0,744,38.0,0,89.0,711
Healthcare,Other healthcare practitioners and technical occupations,70.0,0.0,4.0,17.0,19.0,14.0,11.0,4.0,41.9,Healthcare,63.0,870,41.0,0,22.0,0
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
Healthcare,,,,,,,,,,,,,,,,,
