player,salary,season_end,season_start,team,team_name
Damien Inglis,855000,2016,2015,MIL,Milwaukee Bucks
Johnny O\'Bryant,845059,2016,2015,MIL,Milwaukee Bucks
Steve Novak,416886,2016,2015,MIL,Milwaukee Bucks
Jared Cunningham,57726,2016,2015,MIL,Milwaukee Bucks
Ricky Rubio,12365000,2016,2015,MIN,Minnesota Timberwolves
Nikola Pekovic,12100000,2016,2015,MIN,Minnesota Timberwolves
Kevin Garnett,8500000,2016,2015,MIN,Minnesota Timberwolves
Kevin Martin,7085000,2016,2015,MIN,Minnesota Timberwolves
Andrew Wiggins,5758680,2016,2015,MIN,Minnesota Timberwolves
Karl-Anthony Towns,5703600,2016,2015,MIN,Minnesota Timberwolves
Nemanja Bjelica,4000000,2016,2015,MIN,Minnesota Timberwolves
Anthony Bennett,3650000,2016,2015,MIN,Minnesota Timberwolves
Zach LaVine,2148360,2016,2015,MIN,Minnesota Timberwolves
Shabazz Muhammad,2056920,2016,2015,MIN,Minnesota Timberwolves
Adreian Payne,1938840,2016,2015,MIN,Minnesota Timberwolves
Andre Miller,1499187,2016,2015,MIN,Minnesota Timberwolves
Tayshaun Prince,1499187,2016,2015,MIN,Minnesota Timberwolves
Gorgui Dieng,1474440,2016,2015,MIN,Minnesota Timberwolves
Tyus Jones,1282080,2016,2015,MIN,Minnesota Timberwolves
Damjan Rudez,1149500,2016,2015,MIN,Minnesota Timberwolves
Greg Smith,247623,2016,2015,MIN,Minnesota Timberwolves
Joe Johnson,24894863,2016,2015,NJN,Brooklyn Nets
Brook Lopez,20000000,2016,2015,NJN,Brooklyn Nets
Thaddeus Young,11200000,2016,2015,NJN,Brooklyn Nets
Jarrett Jack,6300000,2016,2015,NJN,Brooklyn Nets
Deron Williams,5500000,2016,2015,NJN,Brooklyn Nets
Bojan Bogdanovic,3425510,2016,2015,NJN,Brooklyn Nets
Sergey Karasev,1599840,2016,2015,NJN,Brooklyn Nets
Shane Larkin,1500000,2016,2015,NJN,Brooklyn Nets
Wayne Ellington,1500000,2016,2015,NJN,Brooklyn Nets
Rondae Hollis-Jefferson,1335480,2016,2015,NJN,Brooklyn Nets
Chris McCullough,1140240,2016,2015,NJN,Brooklyn Nets
Andrea Bargnani,1039298,2016,2015,NJN,Brooklyn Nets
Donald Sloan,1015421,2016,2015,NJN,Brooklyn Nets
Thomas Robinson,981300,2016,2015,NJN,Brooklyn Nets
Willie Reed,947276,2016,2015,NJN,Brooklyn Nets
Markel Brown,845059,2016,2015,NJN,Brooklyn Nets
Sean Kilpatrick,320594,2016,2015,NJN,Brooklyn Nets
Henry Sims,161622,2016,2015,NJN,Brooklyn Nets
Ryan Boatright,75000,2016,2015,NJN,Brooklyn Nets
Quincy Miller,50000,2016,2015,NJN,Brooklyn Nets
Eric Gordon,15514031,2016,2015,NOH,New Orleans Pelicans
Tyreke Evans,11227000,2016,2015,NOH,New Orleans Pelicans
Omer Asik,11000000,2016,2015,NOH,New Orleans Pelicans
Jrue Holiday,10595507,2016,2015,NOH,New Orleans Pelicans
Ryan Anderson,8500000,2016,2015,NOH,New Orleans Pelicans
Anthony Davis,7070730,2016,2015,NOH,New Orleans Pelicans
Alexis Ajinca,4300000,2016,2015,NOH,New Orleans Pelicans
Quincy Pondexter,3382023,2016,2015,NOH,New Orleans Pelicans
Norris Cole,3036927,2016,2015,NOH,New Orleans Pelicans
Dante Cunningham,3000000,2016,2015,NOH,New Orleans Pelicans
Kendrick Perkins,1499200,2016,2015,NOH,New Orleans Pelicans
Alonzo Gee,1375000,2016,2015,NOH,New Orleans Pelicans
Toney Douglas,1164858,2016,2015,NOH,New Orleans Pelicans
Luke Babbitt,1100000,2016,2015,NOH,New Orleans Pelicans
Jarnell Stokes,845059,2016,2015,NOH,New Orleans Pelicans
Bryce Dejean-Jones,281659,2016,2015,NOH,New Orleans Pelicans
Tim Frazier,144157,2016,2015,NOH,New Orleans Pelicans
Jordan Hamilton,119462,2016,2015,NOH,New Orleans Pelicans
James Ennis,74564,2016,2015,NOH,New Orleans Pelicans
Orlando Johnson,55722,2016,2015,NOH,New Orleans Pelicans
Jimmer Fredette,54812,2016,2015,NOH,New Orleans Pelicans
Nate Robinson,44000,2016,2015,NOH,New Orleans Pelicans
Carmelo Anthony,22875000,2016,2015,NYK,New York Knicks
Robin Lopez,13000000,2016,2015,NYK,New York Knicks
Arron Afflalo,8000000,2016,2015,NYK,New York Knicks
Jose Calderon,7402812,2016,2015,NYK,New York Knicks
Derrick Williams,4900000,2016,2015,NYK,New York Knicks
Kristaps Porzingis,4131720,2016,2015,NYK,New York Knicks
Kyle O\'Quinn,3750000,2016,2015,NYK,New York Knicks
Kevin Seraphin,2800000,2016,2015,NYK,New York Knicks
Lou Amundson,1650000,2016,2015,NYK,New York Knicks
Lance Thomas,1650000,2016,2015,NYK,New York Knicks
Jerian Grant,1572360,2016,2015,NYK,New York Knicks
Sasha Vujacic,1356146,2016,2015,NYK,New York Knicks
Cleanthony Early,845059,2016,2015,NYK,New York Knicks
Langston Galloway,845059,2016,2015,NYK,New York Knicks
Tony Wroten,167406,2016,2015,NYK,New York Knicks
Thanasis Antetokounmpo,105888,2016,2015,NYK,New York Knicks
Wesley Saunders,75000,2016,2015,NYK,New York Knicks
Darion Atkins,75000,2016,2015,NYK,New York Knicks
Jimmer Fredette,59731,2016,2015,NYK,New York Knicks
Travis Trice,50000,2016,2015,NYK,New York Knicks
Kevin Durant,20158622,2016,2015,OKC,Oklahoma City Thunder
Russell Westbrook,16744218,2016,2015,OKC,Oklahoma City Thunder
Enes Kanter,16400000,2016,2015,OKC,Oklahoma City Thunder
Serge Ibaka,12350000,2016,2015,OKC,Oklahoma City Thunder
Dion Waiters,5138430,2016,2015,OKC,Oklahoma City Thunder
Kyle Singler,5000000,2016,2015,OKC,Oklahoma City Thunder
Nick Collison,3750000,2016,2015,OKC,Oklahoma City Thunder
Anthony Morrow,3344000,2016,2015,OKC,Oklahoma City Thunder
Randy Foye,3270000,2016,2015,OKC,Oklahoma City Thunder
Steven Adams,2279040,2016,2015,OKC,Oklahoma City Thunder
Cameron Payne,2021520,2016,2015,OKC,Oklahoma City Thunder
Mitch McGary,1463040,2016,2015,OKC,Oklahoma City Thunder
Andre Roberson,1210800,2016,2015,OKC,Oklahoma City Thunder
Josh Huestis,1140240,2016,2015,OKC,Oklahoma City Thunder
Nazr Mohammed,352750,2016,2015,OKC,Oklahoma City Thunder
Nikola Vucevic,11250000,2016,2015,ORL,Orlando Magic
Brandon Jennings,8344497,2016,2015,ORL,Orlando Magic
Ersan Ilyasova,7900000,2016,2015,ORL,Orlando Magic
Victor Oladipo,5192520,2016,2015,ORL,Orlando Magic
C.J. Watson,5000000,2016,2015,ORL,Orlando Magic
Jason Smith,4300000,2016,2015,ORL,Orlando Magic
Aaron Gordon,4171680,2016,2015,ORL,Orlando Magic
Mario Hezonja,3741480,2016,2015,ORL,Orlando Magic
Elfrid Payton,2505720,2016,2015,ORL,Orlando Magic
Andrew Nicholson,2380594,2016,2015,ORL,Orlando Magic
Evan Fournier,2288205,2016,2015,ORL,Orlando Magic
Shabazz Napier,1294440,2016,2015,ORL,Orlando Magic
Chris Copeland,1100000,2016,2015,ORL,Orlando Magic
Jared Cunningham,981348,2016,2015,ORL,Orlando Magic
Dewayne Dedmon,947278,2016,2015,ORL,Orlando Magic
Devyn Marble,845059,2016,2015,ORL,Orlando Magic
Joe Harris,845059,2016,2015,ORL,Orlando Magic
Keith Appling,161776,2016,2015,ORL,Orlando Magic
Jordan Sibert,100000,2016,2015,ORL,Orlando Magic
JaVale McGee,12000000,2016,2015,PHI,Philadelphia 76ers
Gerald Wallace,10105855,2016,2015,PHI,Philadelphia 76ers
Carl Landry,6500000,2016,2015,PHI,Philadelphia 76ers
Joel Embiid,4626960,2016,2015,PHI,Philadelphia 76ers
Jahlil Okafor,4582680,2016,2015,PHI,Philadelphia 76ers
Nerlens Noel,3457800,2016,2015,PHI,Philadelphia 76ers
Furkan Aldemir,3000000,2016,2015,PHI,Philadelphia 76ers
Nik Stauskas,2869440,2016,2015,PHI,Philadelphia 76ers
Sonny Weems,2800000,2016,2015,PHI,Philadelphia 76ers
Tony Wroten,2179354,2016,2015,PHI,Philadelphia 76ers
Kendall Marshall,2144722,2016,2015,PHI,Philadelphia 76ers
Ish Smith,1100602,2016,2015,PHI,Philadelphia 76ers
Richaun Holmes,1050000,2016,2015,PHI,Philadelphia 76ers
Robert Covington,1000000,2016,2015,PHI,Philadelphia 76ers
Isaiah Canaan,947276,2016,2015,PHI,Philadelphia 76ers
Hollis Thompson,947276,2016,2015,PHI,Philadelphia 76ers
Elton Brand,890693,2016,2015,PHI,Philadelphia 76ers
JaKarr Sampson,845059,2016,2015,PHI,Philadelphia 76ers
Jerami Grant,845059,2016,2015,PHI,Philadelphia 76ers
Pierre Jackson,750000,2016,2015,PHI,Philadelphia 76ers
T.J. McConnell,525093,2016,2015,PHI,Philadelphia 76ers
Christian Wood,305789,2016,2015,PHI,Philadelphia 76ers
Phil Pressey,172739,2016,2015,PHI,Philadelphia 76ers
Eric Bledsoe,13086957,2016,2015,PHO,Phoenix Suns
Tyson Chandler,13000000,2016,2015,PHO,Phoenix Suns
Brandon Knight,12000000,2016,2015,PHO,Phoenix Suns
Mirza Teletovic,5500000,2016,2015,PHO,Phoenix Suns
P.J. Tucker,5500000,2016,2015,PHO,Phoenix Suns
Kris Humphries,4600000,2016,2015,PHO,Phoenix Suns
Alex Len,3807120,2016,2015,PHO,Phoenix Suns
Devin Booker,2127840,2016,2015,PHO,Phoenix Suns
T.J. Warren,2041080,2016,2015,PHO,Phoenix Suns
DeJuan Blair,2000000,2016,2015,PHO,Phoenix Suns
Ronnie Price,1499187,2016,2015,PHO,Phoenix Suns
Archie Goodwin,1160160,2016,2015,PHO,Phoenix Suns
Jon Leuer,1035000,2016,2015,PHO,Phoenix Suns
John Jenkins,981000,2016,2015,PHO,Phoenix Suns
Cory Jefferson,421449,2016,2015,PHO,Phoenix Suns
Chase Budinger,258082,2016,2015,PHO,Phoenix Suns
Bryce Cotton,228663,2016,2015,PHO,Phoenix Suns
Alan Williams,114285,2016,2015,PHO,Phoenix Suns
Phil Pressey,111444,2016,2015,PHO,Phoenix Suns
Lorenzo Brown,111444,2016,2015,PHO,Phoenix Suns
Jordan McRae,61776,2016,2015,PHO,Phoenix Suns
Orlando Johnson,55722,2016,2015,PHO,Phoenix Suns
Anderson Varejao,9638554,2016,2015,POR,Portland Trail Blazers
Al-Farouq Aminu,7500000,2016,2015,POR,Portland Trail Blazers
Ed Davis,7000000,2016,2015,POR,Portland Trail Blazers
Gerald Henderson,6000000,2016,2015,POR,Portland Trail Blazers
Chris Kaman,5000000,2016,2015,POR,Portland Trail Blazers
Damian Lillard,4236287,2016,2015,POR,Portland Trail Blazers
Meyers Leonard,3075880,2016,2015,POR,Portland Trail Blazers
Maurice Harkless,2894059,2016,2015,POR,Portland Trail Blazers
Brian Roberts,2854940,2016,2015,POR,Portland Trail Blazers
Mike Miller,2854940,2016,2015,POR,Portland Trail Blazers
Noah Vonleh,2637720,2016,2015,POR,Portland Trail Blazers
C.J. McCollum,2525160,2016,2015,POR,Portland Trail Blazers
Mason Plumlee,1415520,2016,2015,POR,Portland Trail Blazers
Allen Crabbe,947276,2016,2015,POR,Portland Trail Blazers
Tim Frazier,845059,2016,2015,POR,Portland Trail Blazers
Luis Montero,525093,2016,2015,POR,Portland Trail Blazers
Pat Connaughton,525093,2016,2015,POR,Portland Trail Blazers
Cliff Alexander,525093,2016,2015,POR,Portland Trail Blazers
DeMarcus Cousins,14728844,2016,2015,SAC,Sacramento Kings
Rudy Gay,12403101,2016,2015,SAC,Sacramento Kings
Rajon Rondo,9500000,2016,2015,SAC,Sacramento Kings
Kosta Koufos,7500000,2016,2015,SAC,Sacramento Kings
Marco Belinelli,6333333,2016,2015,SAC,Sacramento Kings
Darren Collison,5013559,2016,2015,SAC,Sacramento Kings
Willie Cauley-Stein,3398280,2016,2015,SAC,Sacramento Kings
Ben McLemore,3156600,2016,2015,SAC,Sacramento Kings
Omri Casspi,3000000,2016,2015,SAC,Sacramento Kings
Caron Butler,1499187,2016,2015,SAC,Sacramento Kings
James Anderson,1015421,2016,2015,SAC,Sacramento Kings
Quincy Acy,981348,2016,2015,SAC,Sacramento Kings
Seth Curry,947276,2016,2015,SAC,Sacramento Kings
Wayne Ellington,923670,2016,2015,SAC,Sacramento Kings
Eric Moreland,845059,2016,2015,SAC,Sacramento Kings
Duje Dukan,525093,2016,2015,SAC,Sacramento Kings
Marshall Henderson,35000,2016,2015,SAC,Sacramento Kings
Vince Hunter,35000,2016,2015,SAC,Sacramento Kings
LaMarcus Aldridge,19500000,2016,2015,SAS,San Antonio Spurs
Kawhi Leonard,16500000,2016,2015,SAS,San Antonio Spurs
Tony Parker,13437500,2016,2015,SAS,San Antonio Spurs
Danny Green,10000000,2016,2015,SAS,San Antonio Spurs
Boris Diaw,7000000,2016,2015,SAS,San Antonio Spurs
Tim Duncan,5000000,2016,2015,SAS,San Antonio Spurs
Patrick Mills,3578947,2016,2015,SAS,San Antonio Spurs
Manu Ginobili,2814000,2016,2015,SAS,San Antonio Spurs
Matt Bonner,1499187,2016,2015,SAS,San Antonio Spurs
Rasual Butler,1499187,2016,2015,SAS,San Antonio Spurs
David West,1499000,2016,2015,SAS,San Antonio Spurs
Boban Marjanovic,1200000,2016,2015,SAS,San Antonio Spurs
Kyle Anderson,1142879,2016,2015,SAS,San Antonio Spurs
Ray McCallum,947276,2016,2015,SAS,San Antonio Spurs
Jonathon Simmons,525093,2016,2015,SAS,San Antonio Spurs
Jimmer Fredette,507711,2016,2015,SAS,San Antonio Spurs
Andre Miller,396844,2016,2015,SAS,San Antonio Spurs
Kevin Martin,317475,2016,2015,SAS,San Antonio Spurs
DeMarre Carroll,13500000,2016,2015,TOR,Toronto Raptors 
Kyle Lowry,12000000,2016,2015,TOR,Toronto Raptors 
DeMar DeRozan,9500000,2016,2015,TOR,Toronto Raptors 
Cory Joseph,7000000,2016,2015,TOR,Toronto Raptors 
Patrick Patterson,6268675,2016,2015,TOR,Toronto Raptors 
Jonas Valanciunas,4660482,2016,2015,TOR,Toronto Raptors 
Terrence Ross,3553917,2016,2015,TOR,Toronto Raptors 
Bismack Biyombo,3000000,2016,2015,TOR,Toronto Raptors 
Luis Scola,3000000,2016,2015,TOR,Toronto Raptors 
James Johnson,2500000,2016,2015,TOR,Toronto Raptors 
Lucas Nogueira,1842000,2016,2015,TOR,Toronto Raptors 
Bruno Caboclo,1524000,2016,2015,TOR,Toronto Raptors 
Delon Wright,1509360,2016,2015,TOR,Toronto Raptors 
Anthony Bennett,947276,2016,2015,TOR,Toronto Raptors 
Norman Powell,650000,2016,2015,TOR,Toronto Raptors 
Jason Thompson,328955,2016,2015,TOR,Toronto Raptors 
Ronald Roberts,75000,2016,2015,TOR,Toronto Raptors 
Shannon Scott,25000,2016,2015,TOR,Toronto Raptors 
Axel Toupane,25000,2016,2015,TOR,Toronto Raptors 
Michale Kyser,25000,2016,2015,TOR,Toronto Raptors 
Gordon Hayward,15409570,2016,2015,UTA,Utah Jazz
Derrick Favors,11933333,2016,2015,UTA,Utah Jazz
Alec Burks,9213484,2016,2015,UTA,Utah Jazz
Trevor Booker,4775000,2016,2015,UTA,Utah Jazz
Dante Exum,3777720,2016,2015,UTA,Utah Jazz
Tibor Pleiss,3000000,2016,2015,UTA,Utah Jazz
Trey Burke,2658240,2016,2015,UTA,Utah Jazz
Shelvin Mack,2433333,2016,2015,UTA,Utah Jazz
Joe Ingles,2250000,2016,2015,UTA,Utah Jazz
Trey Lyles,2239800,2016,2015,UTA,Utah Jazz
Rodney Hood,1348440,2016,2015,UTA,Utah Jazz
Rudy Gobert,1175880,2016,2015,UTA,Utah Jazz
Raul Neto,1000000,2016,2015,UTA,Utah Jazz
Chris Johnson,981348,2016,2015,UTA,Utah Jazz
Jeff Withey,947276,2016,2015,UTA,Utah Jazz
Grant Jerrett,947276,2016,2015,UTA,Utah Jazz
Elijah Millsap,362878,2016,2015,UTA,Utah Jazz
J.J. O\'Brien,105888,2016,2015,UTA,Utah Jazz
Erick Green,99418,2016,2015,UTA,Utah Jazz
Treveon Graham,75000,2016,2015,UTA,Utah Jazz
E.J. Singler,50000,2016,2015,UTA,Utah Jazz
John Wall,15851950,2016,2015,WAS,Washington Wizards
Nene Hilario,13000000,2016,2015,WAS,Washington Wizards
Marcin Gortat,11217391,2016,2015,WAS,Washington Wizards
Markieff Morris,8000000,2016,2015,WAS,Washington Wizards
Bradley Beal,5694674,2016,2015,WAS,Washington Wizards
Martell Webster,5613500,2016,2015,WAS,Washington Wizards
Otto Porter,4662960,2016,2015,WAS,Washington Wizards
Jared Dudley,4250000,2016,2015,WAS,Washington Wizards
Alan Anderson,4000000,2016,2015,WAS,Washington Wizards
Drew Gooden,3300000,2016,2015,WAS,Washington Wizards
Ramon Sessions,2170465,2016,2015,WAS,Washington Wizards
Gary Neal,2100000,2016,2015,WAS,Washington Wizards
Kelly Oubre,1920240,2016,2015,WAS,Washington Wizards
Garrett Temple,1100602,2016,2015,WAS,Washington Wizards
Jarell Eddie,561716,2016,2015,WAS,Washington Wizards
J.J. Hickson,366337,2016,2015,WAS,Washington Wizards
Marcus Thornton,251107,2016,2015,WAS,Washington Wizards
Ryan Hollins,176375,2016,2015,WAS,Washington Wizards
Al Horford,12000000,2015,2014,ATL,Atlanta Hawks
Paul Millsap,9500000,2015,2014,ATL,Atlanta Hawks
Jeff Teague,8000000,2015,2014,ATL,Atlanta Hawks
Kyle Korver,6253521,2015,2014,ATL,Atlanta Hawks
Thabo Sefolosha,4150000,2015,2014,ATL,Atlanta Hawks
Mike Scott,3333333,2015,2014,ATL,Atlanta Hawks
DeMarre Carroll,2442455,2015,2014,ATL,Atlanta Hawks
Shelvin Mack,2433333,2015,2014,ATL,Atlanta Hawks
Kent Bazemore,2000000,2015,2014,ATL,Atlanta Hawks
Elton Brand,2000000,2015,2014,ATL,Atlanta Hawks
Dennis Schroder,1690680,2015,2014,ATL,Atlanta Hawks
John Jenkins,1312920,2015,2014,ATL,Atlanta Hawks
Pero Antic,1250000,2015,2014,ATL,Atlanta Hawks
John Salmons,1000000,2015,2014,ATL,Atlanta Hawks
Mike Muscala,816482,2015,2014,ATL,Atlanta Hawks
Austin Daye,125104,2015,2014,ATL,Atlanta Hawks
Jarell Eddie,29843,2015,2014,ATL,Atlanta Hawks
Gerald Wallace,10105855,2015,2014,BOS,Boston Celtic
Isaiah Thomas,7238606,2015,2014,BOS,Boston Celtic
Avery Bradley,7191011,2015,2014,BOS,Boston Celtic
Brandon Bass,6900000,2015,2014,BOS,Boston Celtic
Jonas Jerebko,4500000,2015,2014,BOS,Boston Celtic
Marcus Smart,3283320,2015,2014,BOS,Boston Celtic
Evan Turner,3278000,2015,2014,BOS,Boston Celtic
Will Bynum,2915908,2015,2014,BOS,Boston Celtic
Nate Robinson,2106720,2015,2014,BOS,Boston Celtic
Vitor Faverani,2090000,2015,2014,BOS,Boston Celtic
Kelly Olynyk,2075760,2015,2014,BOS,Boston Celtic
Luigi Datome,1750000,2015,2014,BOS,Boston Celtic
Tyler Zeller,1703760,2015,2014,BOS,Boston Celtic
James Young,1674480,2015,2014,BOS,Boston Celtic
Jared Sullinger,1424520,2015,2014,BOS,Boston Celtic
Jae Crowder,915243,2015,2014,BOS,Boston Celtic
Chris Douglas-Roberts,915243,2015,2014,BOS,Boston Celtic
Phil Pressey,816482,2015,2014,BOS,Boston Celtic
Erik Murphy,100000,2015,2014,BOS,Boston Celtic
Andre Dawkins,59686,2015,2014,BOS,Boston Celtic
Chris Babb,48028,2015,2014,BOS,Boston Celtic
LeBron James,20644400,2015,2014,CLE,Cleveland Caveliers
Kevin Love,15719062,2015,2014,CLE,Cleveland Caveliers
Anderson Varejao,9704595,2015,2014,CLE,Cleveland Caveliers
Kyrie Irving,7070730,2015,2014,CLE,Cleveland Caveliers
J.R. Smith,6516000,2015,2014,CLE,Cleveland Caveliers
Tristan Thompson,5138430,2015,2014,CLE,Cleveland Caveliers
Timofey Mozgov,4650000,2015,2014,CLE,Cleveland Caveliers
Mike Miller,2732000,2015,2014,CLE,Cleveland Caveliers
Iman Shumpert,2616975,2015,2014,CLE,Cleveland Caveliers
Brendan Haywood,2213688,2015,2014,CLE,Cleveland Caveliers
James Jones,1448490,2015,2014,CLE,Cleveland Caveliers
Shawn Marion,1448490,2015,2014,CLE,Cleveland Caveliers
Joe Harris,884879,2015,2014,CLE,Cleveland Caveliers
Matthew Dellavedova,816482,2015,2014,CLE,Cleveland Caveliers
Kendrick Perkins,434547,2015,2014,CLE,Cleveland Caveliers
Chandler Parsons,14700000,2015,2014,DAL,Dallas Mavericks
Tyson Chandler,14598888,2015,2014,DAL,Dallas Mavericks
Rajon Rondo,12909091,2015,2014,DAL,Dallas Mavericks
Monta Ellis,8360000,2015,2014,DAL,Dallas Mavericks
Dirk Nowitzki,7974482,2015,2014,DAL,Dallas Mavericks
Brendan Haywood,7798000,2015,2014,DAL,Dallas Mavericks
Devin Harris,3878000,2015,2014,DAL,Dallas Mavericks
Raymond Felton,3793693,2015,2014,DAL,Dallas Mavericks
Richard Jefferson,1448490,2015,2014,DAL,Dallas Mavericks
Charlie Villanueva,1316809,2015,2014,DAL,Dallas Mavericks
Jose Barea,1310286,2015,2014,DAL,Dallas Mavericks
Al-Farouq Aminu,981084,2015,2014,DAL,Dallas Mavericks
Greg Smith,948163,2015,2014,DAL,Dallas Mavericks
Bernard James,915243,2015,2014,DAL,Dallas Mavericks
Ricky Ledo,816482,2015,2014,DAL,Dallas Mavericks
Gal Mekel,816482,2015,2014,DAL,Dallas Mavericks
Dwight Powell,507336,2015,2014,DAL,Dallas Mavericks
Amar\'e Stoudemire,485670,2015,2014,DAL,Dallas Mavericks
Bernard James,236866,2015,2014,DAL,Dallas Mavericks
Eric Griffin,150000,2015,2014,DAL,Dallas Mavericks
Ivan Johnson,25000,2015,2014,DAL,Dallas Mavericks
Ty Lawson,11595506,2015,2014,DEN,Denver Nuggets
Danilo Gallinari,10854850,2015,2014,DEN,Denver Nuggets
Wilson Chandler,6757913,2015,2014,DEN,Denver Nuggets
J.J. Hickson,5381750,2015,2014,DEN,Denver Nuggets
Darrell Arthur,3457149,2015,2014,DEN,Denver Nuggets
Randy Foye,3135000,2015,2014,DEN,Denver Nuggets
Jameer Nelson,2732000,2015,2014,DEN,Denver Nuggets
Kenneth Faried,2249768,2015,2014,DEN,Denver Nuggets
Joffrey Lauvergne,1790280,2015,2014,DEN,Denver Nuggets
Jusuf Nurkic,1762680,2015,2014,DEN,Denver Nuggets
Gary Harris,1519200,2015,2014,DEN,Denver Nuggets
Victor Claver,1370000,2015,2014,DEN,Denver Nuggets
Shavlik Randolph,1227985,2015,2014,DEN,Denver Nuggets
Will Barton,915243,2015,2014,DEN,Denver Nuggets
Ian Clark,816482,2015,2014,DEN,Denver Nuggets
Erick Green,507336,2015,2014,DEN,Denver Nuggets
Quincy Miller,150000,2015,2014,DEN,Denver Nuggets
Jerrelle Benimon,35000,2015,2014,DEN,Denver Nuggets
Jamaal Franklin,19914,2015,2014,DEN,Denver Nuggets
Josh Smith,14000000,2015,2014,DET,Detroit Pistons
Brandon Jennings,8000000,2015,2014,DET,Detroit Pistons
Ersan Ilyasova,7900000,2015,2014,DET,Detroit Pistons
Tayshaun Prince,7707865,2015,2014,DET,Detroit Pistons
Jodie Meeks,6000000,2015,2014,DET,Detroit Pistons
Greg Monroe,5479934,2015,2014,DET,Detroit Pistons
Joel Anthony,3800000,2015,2014,DET,Detroit Pistons
Anthony Tolliver,3000000,2015,2014,DET,Detroit Pistons
Kentavious Caldwell-Pope,2772480,2015,2014,DET,Detroit Pistons
Andre Drummond,2568360,2015,2014,DET,Detroit Pistons
Reggie Jackson,2204370,2015,2014,DET,Detroit Pistons
Aaron Gray,1227985,2015,2014,DET,Detroit Pistons
Cartier Martin,1145685,2015,2014,DET,Detroit Pistons
Spencer Dinwiddie,700000,2015,2014,DET,Detroit Pistons
John Lucas,123827,2015,2014,DET,Detroit Pistons
Quincy Miller,107676,2015,2014,DET,Detroit Pistons
David Lee,15012000,2015,2014,GSW,Golden State Warriors
Andrew Bogut,12972973,2015,2014,GSW,Golden State Warriors
Andre Iguodala,12289544,2015,2014,GSW,Golden State Warriors
Stephen Curry,10629213,2015,2014,GSW,Golden State Warriors
Shaun Livingston,5305000,2015,2014,GSW,Golden State Warriors
Marreese Speights,3657500,2015,2014,GSW,Golden State Warriors
Klay Thompson,3075880,2015,2014,GSW,Golden State Warriors
Harrison Barnes,3049920,2015,2014,GSW,Golden State Warriors
Leandro Barbosa,1448490,2015,2014,GSW,Golden State Warriors
Brandon Rush,1145685,2015,2014,GSW,Golden State Warriors
Festus Ezeli,1112880,2015,2014,GSW,Golden State Warriors
Nemanja Nedovic,1104240,2015,2014,GSW,Golden State Warriors
Draymond Green,915243,2015,2014,GSW,Golden State Warriors
Justin Holiday,816482,2015,2014,GSW,Golden State Warriors
Ognjen Kuzmic,816482,2015,2014,GSW,Golden State Warriors
James Michael McAdoo,167122,2015,2014,GSW,Golden State Warriors
Aaron Craft,35000,2015,2014,GSW,Golden State Warriors
Mitchell Watt,35000,2015,2014,GSW,Golden State Warriors
Sean Kilpatrick,35000,2015,2014,GSW,Golden State Warriors
Dwight Howard,21436271,2015,2014,HOU,Houston Rockets
James Harden,14728844,2015,2014,HOU,Houston Rockets
Trevor Ariza,8579089,2015,2014,HOU,Houston Rockets
Luis Scola,6541000,2015,2014,HOU,Houston Rockets
Luis Scola,6172538,2015,2014,HOU,Houston Rockets
Jason Terry,5850313,2015,2014,HOU,Houston Rockets
Kostas Papanikolaou,4800000,2015,2014,HOU,Houston Rockets
Corey Brewer,4702500,2015,2014,HOU,Houston Rockets
Josh Smith,2077000,2015,2014,HOU,Houston Rockets
Pablo Prigioni,1662961,2015,2014,HOU,Houston Rockets
Terrence Jones,1618680,2015,2014,HOU,Houston Rockets
Donatas Motiejunas,1483920,2015,2014,HOU,Houston Rockets
Francisco Garcia,1316809,2015,2014,HOU,Houston Rockets
Clint Capela,1189200,2015,2014,HOU,Houston Rockets
Ish Smith,981084,2015,2014,HOU,Houston Rockets
Jeff Adrien,981084,2015,2014,HOU,Houston Rockets
Joey Dorsey,948163,2015,2014,HOU,Houston Rockets
Patrick Beverley,915243,2015,2014,HOU,Houston Rockets
Nick Johnson,507336,2015,2014,HOU,Houston Rockets
K.J. McDaniels,507336,2015,2014,HOU,Houston Rockets
Robert Covington,150000,2015,2014,HOU,Houston Rockets
Akil Mitchell,150000,2015,2014,HOU,Houston Rockets
Paul George,15925680,2015,2014,IND,Indiana Pacers
Roy Hibbert,14898938,2015,2014,IND,Indiana Pacers
David West,12000000,2015,2014,IND,Indiana Pacers
George Hill,8000000,2015,2014,IND,Indiana Pacers
Luis Scola,4868499,2015,2014,IND,Indiana Pacers
C.J. Miles,4205000,2015,2014,IND,Indiana Pacers
Ian Mahinmi,4000000,2015,2014,IND,Indiana Pacers
Chris Copeland,3135000,2015,2014,IND,Indiana Pacers
C.J. Watson,2106720,2015,2014,IND,Indiana Pacers
Solomon Hill,1302840,2015,2014,IND,Indiana Pacers
Rodney Stuckey,1227985,2015,2014,IND,Indiana Pacers
Damjan Rudez,1100000,2015,2014,IND,Indiana Pacers
Donald Sloan,948163,2015,2014,IND,Indiana Pacers
Lavoy Allen,948163,2015,2014,IND,Indiana Pacers
Shayne Whittington,507336,2015,2014,IND,Indiana Pacers
Chris Paul,20068563,2015,2014,LAC,Los Angeles Clippers
Blake Griffin,17674612,2015,2014,LAC,Los Angeles Clippers
